Variable,Coefficient
hero_sum,2.141889707581833
cc_size_defend,-0.46352407608873974
base_ww_defend,-2.789319444252771
th_attack_lower,-3.0127373782788385
th_attack_higher,0.2547226139948668
first_attack,-0.7966550347202774
army_size_total,0.9494516185413266
user_0,-0.1384363836234031
user_10001,2.1181767948934
user_10002,0.10280612296745724
user_10003,1.4054536103565616
user_10004,0.6442313159138766
user_10005,-3.2257149011014135
user_10006,0.0
user_10007,0.020833736201149367
user_10008,-0.3074160455240164
user_10010,1.7673194781139074
user_10011,-1.7829404489306808
user_10014,0.0
user_10015,0.0
Intercept,-0.3457767551212262
alpha,3.6
